NAME_(ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,
Riga/Rumbula,,11 km SE,Riga,Latvia,LAT,,,,,M,2,56,53,N,24,13.6,E,H,26,,,,,,56.8833,24.2267,,2000,60,H,126,,CONC,,,,,,,,,,,MIL/CIV,,,Civilian,"Airfield may have had military use in the 1950s and 1960s.  However now, 1-meter Google images indicate that it is primarily a non-aviation industrial park, and only about five small general aviation planes are based here.",
Lielvarde,,7 km N,Lielvarde,Latvia,LAT,4,,,,M,5,56,46.7,N,24,51.2,E,G,200,,,,,,56.7783,24.8533,,2500,40,G,8,,CONC,,,,,,,,,,,MIL,,A,"899 BAP (Su-24, 1970s) (MiG-27, 2000s).","Fighter or interceptor airfield southeast of Riga, built in late-1970s for an Su-24 regiment.  Transferred from Russia to Latvia in 1994 and now forms the core of operations for the Latvian Air Force.  (Thanks to AviaMK)",
Yekabpils (Krustpils),Krustpils (US),3 km NE,Jekabpils,Latvia,LAT,4,,,,M,,56,32.1,N,25,53.5,E,G,289,,,,,,56.535,25.8917,,2500,40,G,74,,CONC,,,,,,,,,,,MIL,,R,,This combat airfield was home to 886 ORAP which had the Su-17 and flew Yak-28R starting in the mid 1970s [#34] but upgraded to the Su-24MR.,
Idritsa,Idrica,2 km N,Idritsa,,RUS,,,,,a,0,56,20.9,N,28,53.6,E,G,443,,,,,,56.3483,28.8933,,2000,30,G,124,,?,,,,,,,,,,,-,,,Abandoned,"Almost nothing remains, not even geometrics, except a cleared-out area.",
Velikiye Luki,,7 km NE,Velikiye Luki,,RUS,,ULOL,,CD,M,,56,22.9,N,30,36.5,E,G,328,,,,,,56.3817,30.6083,,1422,40,G,153,15/33,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian; accommodates small airliners.,
Andreapol,,3 km E,Andreapol,Tverskaya,RUS,,,,,M,,56,38.7,N,32,18.8,E,H,751,,,,,,56.645,32.3133,,2500,60,H,13,,CONC,,,,,,,,,,,MIL,,I,"28 GV IAP (38 MiG-23P, 1991)[#1] (MiG-29, -1997-2003-)[#7].","Appears to have been built as an interceptor base, with mostly fighter revetments.  MiG-29 crashed 12 May 2005 near base.  Satellite imagery showed at least 28 MiG-29 aircraft on site.",
Rzhev/Bakhmutovo,,18 km NW,Rzhev,Tverskaya,RUS,,,,,M,0,56,22.3,N,34,5.5,E,G,699,,,,,,56.3717,34.0917,,2000,40,G,55,,????,,,,,,,,,,,-,,,Abandoned,Probably abandoned in 1970s; treeline of forest surrounds former airfield.  Confidence of site on satellite is mediocre.,
Rzhev,"Ryev, Rzev, Rjzev",5 km E,Rzhev,Tverskaya,RUS,,,,,M,,56,15.6,N,34,24.5,E,G,636,,,,,,56.26,34.4083,,2500,50,H,69,,CONC,,,,,,,,,,,MIL,,E,BKHAT (Tu-128M) [#1].,"Tu-128 depot airfield during Cold War.  Appears to service minor amounts of large military aircraft, including MiG-29 aircraft, with about 100 of these parked. ",
Tver/Zmeyevo,Kalinin North (US),6 km NE,Tver,Tverskaya,RUS,,UUBN,XUBN,C,a,0,56,54.8,N,35,56.1,E,G,459,C,,,,,56.9133,35.935,,750,85,C,38,Mar-21,DIRT,,,,,,,,,,,-,,,Abandoned,Abandoned airfield.,
Tver/Migalovo,"Kalinin (US), Mikhailovo",10 km W,Tver,Tverskaya,RUS,,UUEM,XUEM,CD,M,,56,49.5,N,35,45.5,E,CD,469,D,,,,,56.825,35.7583,9,2500,49,D,75,Jul-25,CONC,,,,,,,,,,,MIL,,C,"8 VTAP (An-12, An-22)[#4].  196 VTAP (Il-76)[#7].  224 LO VTA (Il-76, An-124)[#7].  2 TSNII [#7].  274 APIB (Su-17C), 1994.  8 GV.  An-22, An-12.","Large military transport base.  Currently houses all of Russia's remaining An-22 fleet. IL76 base, with some An12 stored. (AviaMK)",
Klin,,4 km N,Klin,,RUS,,XUMN,,C,M,,56,22,N,36,44.3,E,G,548,C,,,,,56.3667,36.7383,,2400,50,C,75,Jul-25,ASPH,,,,,,,,,,,MIL,,G,Military,Klin is a field between Moscow and Tver with many military transport types IL76/An12/26/Tu134 etc and airfield was active until recently. Many aircraft still here but most are stored.  (AviaMK),
Nikitino,,,,,RUS,,,,,,,56,48.4,N,37,41.1,E,C,394,C,,,,,56.8067,37.685,,900,40,C,76,Jul-25,DIRT,,,,,,,,,,,,,,,,
Kimry/Borky,"Kletino (US), Borki",8 km S,Kimry,,RUS,,UUEI,,C,M,,56,47.9,N,37,19.8,E,G,417,C,,,,,56.7983,37.33,,1415,40,C,72,Jun-24,ASPH,,,,,,,,,,,CIV,,,Civilian,Small utility airfield.  Has a Tu-124 preserved outside the field (AviaMK).  L-29 jets have operated out of this airport.,
Kirzhach,,,,,RUS,,XUMV,,C,N,,56,9.4,N,38,49.8,E,C,509,C,,,,,56.1567,38.83,,1800,70,C,21,Jan-19,DIRT,,,,,,,,,,,CIV,,,,,
Ivanovo/Yuzhny (Civilian),Ivanovo/Yuzhne,7 km SW,Ivanovo,,RUS,,UUBI,,C,M,,56,56.5,N,40,56,E,G,413,C,,,,,56.9417,40.9333,,2504,42,C,123,Nov-29,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport for Ivanovo.  Handles medium-sized airliners.,
Dobrynskoye,,16 km NE,Vladimir,,RUS,,XUDD,,C,X,,56,14.7,N,40,35.5,E,G,410,C,,,,,56.245,40.5917,,1800,80,G,14,Jan-19,CONC,,,,,,,,,,,-,,,Abandoned,"Old fighter airfield northeast of Moscow.  Does not appear on latest JNC at all, though an NDB exists.",
Teykovo,,,,,RUS,,,XUDT,C,N,,56,50.5,N,40,29.2,E,C,427,C,,,,,56.8417,40.4867,,2000,80,C,85,,DIRT,,,,,,,,,,,,,,,,
Vladimir/Semyazino,,6 km W,Vladimir,,RUS,,UUBL,,C,M,,56,7.6,N,40,18.9,E,H,554,,,,,,56.1267,40.315,,1909,42,C,29,Feb-20,GRAV or ASPH,,,,,,,,,,,CIV,,,Mixed,Forestry commision and VVS An26 base.  Displaced threshold leaves 1700 m for northbound takeoff.,
Ivanovo/Yasyunikha,,,,,RUS,,XUDN,,C,N,,56,57.8,N,41,4.4,E,C,433,C,,,,,56.9633,41.0733,,700,60,C,150,14/32,DIRT,,,,,,,,,,,CIV,,,,,
Vyazniki/Severny,,,,,RUS,,XUDJ,,C,N,,56,12,N,42,11,E,C,410,,,,,,56.2,42.1833,,800,100,C,109,Oct-28,DIRT,,,,,,,,,,,,,,,,
Chkalovsky,,7 km S,Chkalovsk,Nizhegorodskaya,RUS,,UUMU,,,M,,56,42,N,43,11.5,E,G,331,,,,,,56.7,43.1917,,2000,40,G,115,,CONC,,,,,,,,,,,-,,,Abandoned,"Old airfield located alongside lake; no structures or facilities.  Not to be confused with Moscow/Chkalovskoye, Kaliningrad/Chkalovsk, or Omsk/Chlalovsk.",
Pravdinsk,,5 km NW,Balahna,Nizhegorodskaya,RUS,,,,,M,,56,31.3,N,43,28.8,E,H,253,,,,,,56.5217,43.48,,2500,45,G,153,14/32,ASPH,,,,,,,,,,,MIL,,I,"786 IAP (5 MiG-25) (31 MiG-31, 1991) [#1]","Located 38 km northwest of Nizhny Novgorod (Gorky).  Air base has numerous revetments and hardened areas, but appears to be decommissioned.",
Nizhny Novgorod/Sormovo,Gorkiy Sormovo (US),8 km W,Nizhny Novgorod,,RUS,,,,,M,,56,19.1,N,43,47.5,E,H,249,,,,,,56.3183,43.7917,,3000,65,H,75,Jun-24,CONC,,,,,,,,,,,MIL,,C,110 VTAP (prob. Il-76)[#4],Military base with Mig25/31. Local aircraft plant with aircraft based here. (AviaMK),
Nizhny Novgorod/Strigino,Gorkiy Strigino (US),14 km SW,Nizhny Novgorod,,RUS,,UWGG,,CD,M,,56,13.8,N,43,47,E,CD,256,CD,,,,,56.23,43.7833,11,2805,45,CD,11,18R/36L,CONC,,,,,,,,,,,CIV,,,Civilian,Civil terminal with very large apron that can accommodate 44 aircraft. 24-hour operations.  Several Ministry of Interior IL76's based here. (AviaMK),
Yoshkar Ola,,9 km N,Yoshkar Ola,Mariya,RUS,,UWKJ,,,M,5,56,42.3,N,47,53.7,E,G,348,A,,,,,56.705,47.895,,2400,45,A,173,16/34,ASPH,,,,,,,,,,,CIV,,,Civilian,Handles small airliners.,
Cheboksary,,7 km SE,Cheboksary,Chuvashskaya,RUS,,UWKS,,CD,M,,56,5.4,N,47,20.8,E,D,558,D,,,,,56.09,47.3467,12,2512,49,D,72,Jun-24,CONC,,,,,,,,,,,CIV,,,Civilian,Services medium-sized airliners.,
Danilovo,Yoshkar Ola (US),11 km E,Yoshkar Ola,Samarskaya,RUS,,,,,M,7,56,39.6,N,48,2,E,G,384,,,,,,56.66,48.0333,12,2350,30,G,176,16/32,CONC,,,,,,,,,,,MIL,,I,"681 IAP (38 MiG-23MLD, 1991)[#1], (MiG-23, 1991)[#1].",Small fighter airfield.,
Izhevsk,Izhevsk Southeast (US),15 km E,Izhevsk,Udmurtskaya,RUS,,USII,,C,M,,56,50.1,N,53,27.8,E,G,531,,,,,,56.835,53.4633,,2500,45,G,25,Jan-19,CONC,,,,,,,,,,,CIV,,,Civilian,Handles small airliners.,
Neftekamsk,,6 km NE,Neftekamsk,Bashchkortostan,RUS,,UWUF,,,M,,56,6.4,N,54,20.8,E,G,456,,,,,,56.1067,54.3467,,1300,51,,15,18/36,ASPH,,,,,,,,,,,CIV,,,Civilian,Minor airfield.,
Arti,,2 km NW,Arti,,RUS,,,,,N,,56,26.1,N,58,31.3,E,G,1093,C81,,,,,56.435,58.5217,,550,70,C81,90,Rwy 1,DIRT,550,70,C81,10,,,Rwy 2,DIRT,,,CIV,,,,,
Ekaterinburg/Koltsovo,"Sverdlovsk, Kaitsova, Yekaterinburg/Koltsovo",17 km SE,Ekaterinburg,,RUS,,USSS,,CD,M,,56,44.6,N,60,48.2,E,CD,764,CD,,,,,56.7433,60.8033,14,3025,53,CD,94,08R/26L,CONC,,,,,,,,,,,MIL/CIV,,C,Mixed.  128 OSAZ (An-26)[#7].,Services a wide range of civilian airliners; parks up to 65 aircraft.  A Su-9 from this airfield intercepted Gary Powers U-2 in 1960 but was unable to shoot it down; the U-2 crashed near Povarnya.,
Ekaterinburg/Aramil,"Sverdlovsk, Yekaterinburg/Uktus, Uktus",20 km SE,Ekaterinburg,,RUS,,USSK,,,M,,56,42.1,N,60,47.2,E,H,738,C81,,,,,56.7017,60.7867,14,1775,40,H,90,Aug-26,ASPH,,,,,,,,,,,CIV,,,Civilian,Small airfield 5 km south of larger Koltsovo airport.  Handles small transport aircraft.  As of 1981 the runway was 1300 x 40 m [CAICA].,
Kamensk Uralskiy,,5 km E,Kamensk-Uralskiy,,RUS,,,,,M,6,56,26.2,N,61,59.2,E,G,502,O,,,,,56.4367,61.9867,14,2700,45,G,123,Nov-29,CONC,,,,,,,,,,,MIL,,,Military,Medium-sized military airfield with long 2600 x 70 m tarmac.,
Shadrinsk,Sadrinsk,6 km SE,Shadrinsk,,RUS,,,,,M,,56,2.2,N,63,40.7,E,H,459,,,,,,56.0367,63.6783,,2500,40,H,87,Aug-26,CONC,,,,,,,,,,,MIL,,C,"600 GV TAD (Il-76M, starting 1992).",Large tarmac area. Il-76 base.,
Chernaya Rechka,,,,,RUS,,,,,,,56,56.5,N,65,14.5,E,C,,,,,,,56.9417,65.2417,,,,,,,,,,,,,,,,,,,,,,Listed as new landing site in 2009 CAICA chart changes.,
Tara,,???,NEED ONC D-5,,RUS,,UNOT,,,x,,56,54,N,74,18,E,,253,,,,,,56.9,74.3,,1200,175,,,Dec-30,DIRT,,,,,,,,,,,,,,,,
Tomsk/Bogashevo,,21 km SE,Tomsk,,RUS,9,UNTT,,C,M,,56,23,N,85,12.6,E,H,597,,,,,,56.3833,85.21,,2500,42,H,33,Feb-20,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport but may be hybrid.  Services medium-size airliners.,
Achinsk,Achinsk East (US),4 km E,Achinsk,Krasnoyarski,RUS,,UNKS,,,M,,56,16.1,N,90,34.6,E,G,1033,,,,,,56.2683,90.5767,,2450,42,G,87,Aug-26,CONC,,,,,,,,,,,?,,,Unknown,Civilian airfield with minor facilities for small number of fighter aircraft. Source [#1] seems to list 712 IAP at Kansk but lists Achinsk in parentheses.,
Krasnoyarsk/Emelyanova,"Yemelyanovo, Yelovaya (US)",37 km NW,Krasnoyarsk,Krasnoyarski,RUS,,UNKL,,CD,M,,56,10.4,N,92,29.6,E,CD,942,CD,,,,,56.1733,92.4933,4,3703,60,D,113,11R/29L,ASPH,,,,,,,,,,,CIV,,,Civilian,"Major civil airport opened in 1980.  Kras Air main base with large airliners separate military area. (AviaMK)  Main runway apron holds 47 aircraft; small runway has own terminal and met office, and holds 94 small aircraft.",<http://www.krasair.ru/doc.php?id=1156>
Krasnoyarsk/Cheremshanka,,4 km NE,Krasnoyarsk,,RUS,,UNKM,,,X,0,56,2.5,N,92,54.3,E,H,676,,,,,,56.0417,92.905,,2000,40,G,48,,CONC,,,,,,,,,,,-,,,Abandoned,"Former airfield that has been converted into a boulevard lined with apartment complexes.  There was an An-2 maintenance facility, which is now gone.  It was a utilitarian airfield with An-2/An-24/An-6, probably now based at Emelyanovo.",
Kansk/Civil,,4 km S,Kansk,,RUS,,,,,M,1,56,9.1,N,95,42.8,E,H,699,,,,,,56.1517,95.7133,,1960,40,H,95,,DIRT,,,,,,,,,,,CIV,,,Civilian,Small civilian airstrip; may be abandoned.  One area of the airfield contains an older concrete extension that is 80 m wide but has fallen into disrepair.,
Kansk/Military,,9 km S,Kansk,,RUS,,,,,M,,56,7.4,N,95,39.7,E,H,1037,,,,,,56.1233,95.6617,,2500,40,H,57,,CONC,,,,,,,,,,,MIL,,I,"712 IAP (MiG-31)[#7], (MiG-25, 1991)[#1].","Fighter base with about 10 remote revetments.  Old 2000 m runway, no taxiways, exists between city and airfield.",
Bratsk,,8 km N,Bratsk,Irkutskaya,RUS,,UIBB,,CD,M,,56,22.2,N,101,41.9,E,CD,1598,D,,,,,56.37,101.6983,-1,3160,60,CD,115,Dec-30,CONC,,,,,,,,,,,MIL/CIV,,I,"Mixed.  350 IAP (MiG-31, 1991)[#1]","Mixed use airfield, servicing medium-sized airliners with 32 parking spaces. Also a number of branched fighter revetments.  CAICA 2000 gave elevation as 491 m.",
Zheleznogorsk,,10 km S,Zheleznogorsk,,RUS,,UIBV,,,M,,56,29.3,N,104,6.2,E,G,1946,,,,,,56.4883,104.1033,,1400,43,,93,Oct-28,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,
Ust-Kut,,9 km N,Ust-Kut,Irkutskaya,RUS,,UITT,,,M,,56,51.4,N,105,43.8,E,G,2188,,,,,,56.8567,105.73,,2000,45,,117,Dec-30,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,
Kazachinsk,,1 km NW,Kazachinsk,,RUS,,UITK,,,M,3,56,16.7,N,107,34,E,G,1499,,,,,,56.2783,107.5667,,1585,30,G,35,,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport.,
Severomuisk,Muyukan (US),2 km E,Severomuisk,,RUS,,,,,N,,56,11.1,N,113,36.4,E,G,2526,,,,,,56.185,113.6067,,1650,30,G,63,,GRAV,,,,,,,,,,,CIV,,,Civilian,Civilian airport with dirt runway.,
Taksimo,,3 km NE,Taksimo,,RUS,,,,,M,3,56,21.7,N,114,55.8,E,G,2001,,,,,,56.3617,114.93,,2000,30,G,81,,CONC,,,,,,,,,,,CIV,,,Civilian,Paved airport with parking apron.  Civilian.,
Muya,,2 km NE,Muya,,RUS,,,,,N,,56,26.9,N,115,38.8,E,G,2001,,,,,,56.4483,115.6467,,760,30,G,69,,GRAV,,,,,,,,,,,CIV,,,Civilian,Civilian airport.,
Chara,Chara/Kyust-Kemda (US),2 km NE,Chara,,RUS,9,UIAR,,,M,4,56,54.9,N,118,16.2,E,H,2201,,,,,,56.915,118.27,,1800,35,H,44,Jun-24,CONC,,,,,,,,,,,CIV,,,Civilian,Wide paved runway and parking apron.  Civilian airport.,
Chulman/Neryungri,,8 km N,Chulman,Yakutia,RUS,,UELL,,C,M,,56,54.8,N,124,54.8,E,D,2812,D,,,,,56.9133,124.9133,-13,3600,45,D,69,Aug-26,CONC,,,,,,,,,,,CIV,,,Civilian,Services up to medium-sized airliners.  Serves as emergency field for the cross-polar route.,
Kozyrevsk,,3 km NE,Kozyrjovsk,,RUS,,UHPO,,A,N,3,56,5.4,N,159,52.6,E,G,331,T,,,,,56.09,159.8767,-6,1350,20,G,28,Mar-21,CONC,,,,,,,,,,,CIV,,,Civilian,"Possible airfield presumably abandoned during construction in the 1960s.  Listed on 1977 GNC.  Clearline around airfield measures 3500 m in length and is well-maintained.  Due to snow cover, unable to ascertain whether airfield exists.",
Klyuchi,,3 km SW,Klyuchi,Kamchatskaya,RUS,,,,,M,5,56,18.6,N,160,48.3,E,G,499,T,,,,,56.31,160.805,-6,2000,40,G,126,13/31,CONC,,,,,,,,,,,MIL,,C,OSAE (An-26).,"Small but significant interceptor airfield covering northern Kamchatka.  About 12 fighter revetments and some narrow tarmac space.  Services Kura military proving area (Klyuchi-20)[12][13], an ICBM impact area 130 km to the northeast at 57-20N 161-50E.  Was photographed by U-2s starting June 1957.",
Ust-Kamchatsk,,2 km SW,Ust-Kamchatsk,Kamchatskaya,RUS,,UHPK,,CD,M,5,56,14.3,N,162,41.3,E,G,200,T,,,,,56.2383,162.6883,-5,1725,30,G,5,Jan-19,ASPH,,,,,,,,,,,CIV,,,Civilian,"Medium-sized airfield handling small transport planes.  Taxiway and apron suggests possible military use in past, though substandard runway length suggests it is not of significant military importance.",
Palanga,,6 km N,Palanga,Lithuania,LIT,,EYPA,,,M,5,55,58.4,N,21,5.6,E,W,33,W,,,,,55.9733,21.0933,4,2000,40,W,13,Jan-19,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport with single apron containing 11 parking spaces; facility is equipped with ILS.,
Klaipeda,Klaipeda East (US),6 km E,Klaipeda,Lithuania,LIT,,,,,M,3,55,42.7,N,21,14.6,E,G,89,,,,,,55.7117,21.2433,5,500,40,G,71,Jul-25,ASPH,,,,,,,,,,,CIV,,,Civilian,Small general aviation & utilitarian filed with An2/28 based. (AviaMK)  An 1825 m runway is marked on old charts; satellite seems to show that current runway is a segment of the old runway.,
Siauliai/International,"Skyaulyay, Zokniai",7 km SE,"Siauliai,Shaulyaem, Skyaulyay, Shyaulyay, Shaulyay",Lithuania,LIT,,EYSA,,,M,,55,53.6,N,23,23.7,E,W,443,W,,,,,55.8933,23.395,5,3500,45,W,146,14/32,CONC,,,,,,,,,,,MIL/CIV,,CAE,"53 APIB (MiG-23, MiG-27). 196 GV.  18 GV TAD (Il-76)[#4].  196 VTAP (Il-76)[#4].  117 OAP (An-12PPS)[#4].  Tu-126.","Bomber base with revetments for 40 large aircraft and alert area with about 10 fighter-size revetments.   Sole operating location for Tu-126 Moss in 1970s, used to extend early warning radar coverage into the Baltic Ocean.  Civilian terminal north side; facility is listed by Jeppesen as ""International"".",
Paliepiai,,29 km W,Kedainiai,Lithuania,LIT,,,,,M,7,55,19.3,N,23,31.2,E,G,354,,,,,,55.3217,23.52,5,3000,45,G,43,Apr-22,CONC,,,,,,,,,,,MIL,,,Military,Probably a forward bomber base; single loop revetment area with mixed bomber and fighter pads.,
Kedainiai,Kedaynyay,45 km N,Kaunas,Lithuania,LIT,,EYKD,,,M,,55,18.7,N,23,57.2,E,W,171,W,,,,,55.3117,23.9533,5,2000,45,W,166,16/34,CONC,,,,,,,,,,,MIL,,CE,"128 GV VTAP (Il-76, An-22)[#4].  600 VTAP (Il-76, An-22, until 1992, relocated to Shadrin).[#4]  144 OAPDRLO (A-50) prob this Kaunas base until 1989.",Transport base 45 km north of Kaunas.  Has 28 large pads.  Listed as civilian on DAFIF.,
Panevezhis,"Panevezys, Panyavezhis, Panevejis, Panevezhis, Pajuostis, Tulpe",6 km E,Panevezhis,Lithuania,LIT,,EYPP,,,M,,55,43.8,N,24,27.6,E,W,198,W,,,,,55.73,24.46,5,2000,40,W,137,13/31,CONC,,,,,,,,,,,MIL,,C,117 VTAP (An-22)[#4] (Il-76).,Transport base; very large ring taxiway 2 km in diameter.  There are 32 large revetments.  Received USSR's first Il-76M on 27 August 1977.  Relocated in 1992 to Orenburg.,
Jonava,,9 km SE,Jonava,Lithuania,LIT,,,,,M,6,55,0.6,N,24,21.8,E,G,246,,,,,,55.01,24.3633,5,2400,30,G,122,Dec-30,CONC,,,,,,,,,,,???,,,Unknown,Linear ramp with 24 parking spaces.  May be a military base.,
Lotsaki,,12 km NE,Daugavpils,,LAT,,,,,M,8,55,56.5,N,26,40.1,E,G,400,,,,,,55.9417,26.6683,7,2500,40,G,24,Feb-20,CONC,,,,,,,,,,,MIL,,A,"372 APIB (MiG-23, MiG-27).",Small fighter base with a few unimproved revetments and small tarmac space.  Base is now completely abandoned.  [Lociki],
Postavy,,5 km W,Postavy,Belarus,BLR,,,,,M,8,55,7,N,26,45.7,E,G,472,,,,,,55.1167,26.7617,6,2500,45,G,112,Nov-29,CONC,,,,,,,,,,,MIL,,A,305 BAP (Su-24).,"Medium air base.  Three loop areas with 15 revetments each, and central tarmac area.  305 BAP responsible to 1 BAD (Lida).",
Polotsk/Borovitsy,"Borovitsi (US), Polotsk Northwest (US), Borovtsy",16 km NW,Polatsk,Belarus,BLR,,,,,M,7,55,36.5,N,28,40.7,E,G,456,,,,,,55.6083,28.6783,7,2500,45,G,106,Oct-28,CONC,,,,,,,,,,,MIL,,H,276 BVB (Mi-8) (Mi-24).,Cold War air base with sprawling taxiway area and pads for about 40 aircraft.,
Polotsk/Civil,Polotsk South (US),9 km S,Polatsk,Belarus,BLR,,,,,M,5,55,24.7,N,28,44.9,E,G,469,,,,,,55.4117,28.7483,7,1450,45,G,141,13/31,ASPH,,,,,,,,,,,CIV,,,Civilian,"Purely civilian, utilitarian airfield.",
Vitebsk,"Vitebsk Northeast (US), Andronovichi",8 km NE,Vitebsk,,BLR,,,,,M,6,55,15.3,N,30,14.8,E,G,636,,,,,,55.255,30.2467,7,2500,45,G,71,Jun-24,CONC,,,,,,,,,,,MIL,,C,"339 VTAP (32 Il-76, An-22)[#4]",Small airfield complex with single large tarmac.,
Vitebsk/Vostochny,"Vitsyebsk,Vitseybsk Southeast",12 km SE,Vitebsk,,BLR,,UMII,,CD,M,,55,7.6,N,30,21,E,CD,682,CD,,,,,55.1267,30.35,7,2606,42,CD,62,Jun-24,CONC,,,,,,,,,,,CIV,,,Civilian,Accommodates small airliners up to Tu-134.,
Vyaz'ma,Vyazma,9 km SE,Vyaz'ma,Moscow,RUS,,,,,M,,55,8.9,N,34,23,E,G,794,,,,,,55.1483,34.3833,9,2000,40,G,13,,CONC,,,,,,,,,,,MIL,,I,45 IAP (MiG-23P).,Sport field (AviaMK).  Small air base.,
Batulino,,,,,RUS,,UUMW,,C,,,55,39.8,N,36,8.3,E,C,689,C,,,,,55.6633,36.1383,,1300,50,C,79,Jul-25,DIRT,,,,,,,,,,,CIV,,,,,
Kubinka,,5 km NW,Kubinka,Moskovskaya,RUS,9,UUMB,XUMB,C,M,,55,36.7,N,36,38.9,E,H,610,C,,,,,55.6117,36.6483,9,2500,79,C,52,Apr-22,CONC,,,,,,,,,,,MIL,,T,"237 TsPAT (MiG-29E, Su-17C, Su-24, Su-25, Su-27, -1997-2003-).  234 GV IIAP (MiG-23MLD, 1991)[#4] (MiG-29, 1991)[#4].  378 OSAE (Mi-8).","Located near Moscow, Kubinka is operated as a showcase air force base.  An12/26 base home of two display teams (AviaMK).",
Ermolino,Borovsk (US),6 km NW,Balabanovo,,RUS,,UUWE,,C,M,,55,13.7,N,36,36.5,E,G,638,C,,,,,55.2283,36.6083,9,3000,60,C,138,31/13,CONC,,,,,,,,,,,CIV,,,Civilian,Airfield servicing small prop aircraft.,
Medyn-Aduyevo,,56 km NW,Kaluga,Kaluzhskaya,RUS,4,,,,A,0,55,0.2,N,35,59.7,E,G,636,,,,,,55.0033,35.995,9,2500,,,61,,????,,,,,,,,,,,MIL,,,Abandoned,"A 1960s-era airbase completely plowed over into pasture.  A degree confluence is along the southern tarmac; two confluence hunters did not see any remains or even suspect them, but photos clearly show suspicious clearings and revetments.",
Zakharkovo,,,,,RUS,,,,,,,55,46,N,37,20,E,X,,,,,,,55.7667,37.3333,,,,,,,,,,,,,,,,,,MIL,,,Military,Site of a 1940s bomber airfield with a regiment specializing in Arctic navigation.,
Moscow/Sheremetyevo,Sheremetyevo,28 km N,Moscow,Moskovskaya,RUS,,UUEE,,CD,M,,55,58.4,N,37,24.9,E,CD,630,CD,,,,,55.9733,37.415,9,3700,60,CD,75,07R/25L,CONC,,,,,,,,,,,CIV,,,Civilian,Has serviced most of Russia's international connections since the 1960s.  The north side has 58 parking spaces; the south side 42 spaces.,
Moscow/Dolgoprudnyy,,22 km N,Moscow,Moskovskaya,RUS,,,,,a,0,55,56.1,N,37,30.1,E,G,591,Q,,,,,55.935,37.5017,10,700,20,G,78,Jul-25,GRAS,,,,,,,,,,,MIL,,,Unknown,Old airstrip now a pasture between developed areas; may be of historical (WWII) significance.  Located only 7 km SE of Sheremetyevo International Airport.,
Moscow/Tushino,Tushino,14 km NW,Moscow,Moskovskaya,RUS,,UUUS,,,A,,55,49.1,N,37,25.6,E,,420,,,,,,55.8183,37.4267,10,1300,60,,115,Nov-29,DIRT,,,,,,,,,,,CIV,,,Civilian,General aviation field (AviaMK).,
Moscow/Khodinka,Tsentralny (US),7 km NW,Moscow,Moskovskaya,RUS,,,,,A,,55,47.3,N,37,31.8,E,,502,,,,,,55.7883,37.53,10,1460,40,,102,Sep-27,CONC,,,,,,,,,,,CIV,,,Civilian,"This was actually an airport bus station for the last 20 odd years, but is no longer active and today the whole site is a giant building site. It is home to a large number of stored aircraft from Sukhoi OKB, Mig OKB (this has moved to Luchovitsy).  A proper Museum is being prepared on the site in a park south of the runway cross over. Khodinka is where all IL18 and variants were built.  Was used in 1941 by 12 IAP. (Thanks to AviaMK)",
Solntsevo,,19 km SW,Moscow,Moskovskaya,RUS,,UUBS,,,M,5,55,38.6,N,37,23.3,E,G,581,Z,,,,,55.6433,37.3883,10,45,45,G,100,,CONC,,,,,,,,,,,MIL,,H,Military,Helipad faciity; a number of Mil helicopters can be seen on satellite imagery.,
Moscow/Vnukovo,Vnukovo,28 km SW,Moscow,Moskovskaya,RUS,,UUWW,,CD,M,,55,35.4,N,37,15.7,E,D,686,CD,,,,,55.59,37.2617,9,3060,60,CD,23,Feb-20,ASPH,,,,,,,,,,,CIV,,,Civilian,"Services all types of airliners.  Vnukovo 1 terminal has 60 parking spots. ARP 400 Tu154 reworks facility, VIP ramp for government aircraft. IL96/62/18/Tu154/134/Yk40 (Rossia)  Rwy 02/20 was listed as closed in 2005.",
Moscow/Myachkovo,Myachkovo,31 km SE,Moscow,Moskovskaya,RUS,,UUBM,,C,M,,55,33.6,N,37,59,E,C,443,C,,,,,55.56,37.9833,10,1650,35,C,70,Jun-24,ASPH,,,,,,,,,,,CIV,,,Civilian,Length including overrun is 1650 m.  Services transport aircraft up to Il-76.,
